"TOKEN";"REFTEXT"
"ADOTINBXUQ";"LIGHT RIFLES (LAW)"
"ADRUAFUAHP";"TOW 2"
"ADSOUOHZPQ";"3-PPCLI"
"ADXCMYZPGH";"BRDM-2 KONKURS"
"AEBIUFAKTA";"#RECO3 M3 ETAS"
"AECLNSXSKA";"Panzer-Bat. 224"
"AEGBBLTKWZ";"AH-1F ATAS"
"AEHIQWSITF";"Mi-24P [AT3]"
"AEINBNGLTE";"152E DIVISION D'INFANTERIE"
"AEOMLGDIKV";"HOCHGEBIRGSJÄGER"
"AEOPMJPYFC";"A wz. 1931/37/85 122mm"
"AEPGKDLZEJ";"#CMD T-72AK"
"AEPNPFBPRX";"MARECHAUSSEE"
"AESKREQCRA";"#CMD CMDT MARSOUINS"
"AEVGTOAMCA";"#CMD UH-1H CO"
"AEXZKCFCSZ";"Barret M82"
"AFAAMDFYAP";"#DDR 8. Panzer-Rgt."
"AFDRIJUSCW";"Kh-58U"
"AFEMZNLWIT";"TANK GUN"
"AFEOBWUAJG";"1-239-y Gv. Tank. Polk"
"AFJCOTRQIO";"M60"
"AFJDSIVAHJ";"Multiple Rocket Launcher"
"AFJRXKGQLD";"2A17"
"AFJWXFWHID";"16-ya Gv. IAD"
"AFKFHFCXWT";"35-y IAP"
"AFLMSJGIWC";"3-247-y Gv. MSP"
"AFMGUIIEAD";"Generální štáb ČSLA"
"AFPUXFVNKD";"152mm"
"AFRCYNDJOA";"#CMD M1IP ABRAMS CP"
"AFRKTAGWYH";"2-MSR. 9"
"AFSKFYGENE";"25-YA TANK. DIV."
"AFUPSCGVHW";"Infrared"
"AFUXVYLQGF";"M72A3 LAW"
"AFXTUKTMCP";"1-PR-8"
"AFYWPQUBSY";"D-10T2S"
"AFZWMSBFVX";"N.G. M2 BRADLEY IFV"
"AGBQFAGBHU";"Luftwaffe"
"AGEJLNESRU";"I,/Royal Green Jacket"
"AGGXQFNIHU";"M113A3 DRAGON"
"AGKQYWXTMU";"Mi-8MT [RKT 1]"
"AGM_air";"AIR-TO-GROUND MISSILE"
"AGOYWKHFDN";"PARA. ENGINEERS"
"AGQCKLSPTX";"AH-64A APACHE"
"AGUPJGPAJY";"FLA-MG ZPU-4"
"AGWQLEKBYS";"#RECO2 CM.170 MAGISTER"
"AHABEXABNX";"USAF SECURITY PATROL"
"AHDJQGBNVN";"AS.11"
"AHEXZYLYSQ";"Konkurs-M"
"AHJPOIPHBW";"50 pułk zmech."
"AHKSXTETYU";"CRV-7 FAT"
"AHMSXHUILV";"BMP-1P (Konkurs)"
"AHNTSVVWQQ";"#RFA  7. Artillerie-Regiment"
"AHNVRDFHNY";"NG Aviation Brigade"
"AHOANQGINT";"#CMD OH-58C CMD"
"AHRBWOLUIL";"1-30-y Gv. Tank. Polk"
"AHRDCEQTFS";"20-y otd. Razvedka Bat."
"AHUFFYISOA";"ASpide 1.A"
"AHVCVOILJF";"402 Rgt. d'Artillerie"
"AHWBWDIMAP";"MiG-23MLD [AA2]"
"AIGXQLTONK";"1 Field Rgt. RHA"
"AIITRYYOBF";"7 BRYG. ART. ARMAT"
"AIKNEWCKVN";"Esc. de Chasse 2/3 Champagne"
"AILWOSUNPQ";"#RECO3 PUMA ORCHIDEE"
"AIMABJTUXN";"48-ya MSD"
"AIMXKTZUUE";"L4A4"
"AIWZAGRWYJ";"FlaRak-Bat. 35"
"AIZEQKRKMQ";"DSh. AFGANTSY"
"AJBSLWGETS";"#RECO2 SDRA 8"
"AJJMVVKDUM";"#CMD DSh. SAPERI KOM."
"AJKQDPWROU";"216. Protitankový Pluk"
"AJLQBJRPNP";"M3P"
"AJLYKXQOGW";"CN-105 F1"
"AJMCQNBLDE";"Geb.Sich.-Bat. 88"
"AJMHVBCZHE";"1-23 Baa"
"AJSCHOOPDI";"#RECO2 OA-10A"
"AJSWBANTOA";"11TH ARM. CAVALRY REGT."
"AJVJHHKJOS";"3-670-y Art. Polk"
"AJWXIFAQSE";"250kg"
"AJZGBZYDQL";"Recon units"
"AKARAWTEKC";"I./AR 11"
"AKGGHMYQRW";"A-7D CORSAIR II"
"AKHYWDOXPE";"4-3rd Field Artillery Rgt."
"AKJZFEFBDM";"94mm HEAT"
"AKMTGSYWRY";"#FR 1e Brigade"
"AKQDOCIEDU";"2-PR-8"
"AKQFFHAKKU";"AUVERLAND A3"
"AKQQRURYNR";"s.Jäger-Bat. 522"
"AKQVWDMUOM";"1-6-34-ya Artilleri. Div."
"AKSEXBWRFV";"#RECO2 TELEOKA"
"AKTGYZPMMN";"2-153-y Tank. Polk"
"AKWMCPTQAT";"#SOV 30-ya Gv. MSD"
"AKXPHVOVGV";"Mi-24P [AT1]"
"AKYYYWAHWV";"F-8P CRUSADER [AA2]"
"AKZHVRMBJU";"JÄGER (PzF)"
"ALARNSNHJW";"Bofors L/60"
"ALBKAPAUKL";"This units is full of electronic device to detect or scramble enemy electronic devices."
"ALGTOSSQJM";"#RECO2 M3 BRADLEY CFV"
"ALHPTMHHOD";"3 GGW"
"ALKFQZOOCZ";"II./MSR. 22"
"ALKPBXLQQU";"23mm"
"ALLLZKRAJP";"S-53"
"ALOZJLFFIW";"CN-105 L/57"
"ALPNUWBDCU";"M38A1C M40A1"
"ALQOHGHFXP";"#FR 1ère Division Blindée"
"ALVEDFDRFQ";"MNAD"
"ALWAYIBMIS";"M1008 CUCV SUPPLY"
"ALWPCGMBSP";"JAGUAR 2"
"ALXZMLVUCG";"#RECO2 TU-143"
"ALZBLDVZPO";"#CMD GUARDS"
"ALZWVJWACC";"Faktoriya"
"AMASYORJLT";"25. MOT.-SCHÜTZEN-REGIMENT"
"AMAXUWWFSR";"M56 105mm"
"AMCKUQERYQ";"S-8KOM"
"AMGJNIXTWY";"3-57y GvMRD"
"AMHHORWQVK";"Jäger-Bat. 126"
"AMIROHSLAO";"AT GROUP"
"AMJTVUIMKK";"DANA"
"AMNVWRRRNO";"G3A3"
"ANIIELXLXU";"CLKA"
"ANIOMUAMCW";"MARINEPIONIER"
"ANLKTNVUHZ";"Panzer-Bat. 304"
"ANLVVDRSHL";"#RFA VBK 44"
"ANOCRSJMZP";"M110A2"
"ANPPTKTCFL";"üsMGSPz"
"ANRQMAYVUS";"#RECO2 W-3RR PROCJON"
"ANRXEKBTDA";"GR.-MG 30mm"
"ANXWOTDCFT";"#SOV 117-y Gv. MSP"
"AOBHAGRXZY";"EM-3e DB"
"AOBQXDQNAU";"#DDR  4. Panzer-Rgt."
"AOEDPQJPAX";"5. Stíhací Letecké Pluk"
"AOEHCYMAPL";"DAF YHZ-2300 VRACHT"
"AOGFTLIBWR";"322. Kanónová Dělostř. Brigáda"
"AOGIWTGQOU";"PALR MILAN 1"
"AOKOIQFIOW";"896-y Zen. Art. Polk"
"AORQXDFYXN";"AVL-100"
"AOSEDOIQMG";"1ste Karabiniers-W."
"APBQJLNXZR";"1 gb 51 pz"
"APBSJPZCMZ";"AMX-10 RC SPAHIS"
"APC";"Armored Personel Carrier"
"APCPSZEYBI";"2-47. DP"
"APDSZLWQLY";"2-1. TP"
"APNHOFRVSA";"#CMD VELITEL POHRANIČNÍKŮ"
"APOBVKZTNZ";"ZPU-4"
"APOTDIOQJK";"10 pułk zmech."
"APSOULRRPI";"#RECO2 LRS"
"APULYVEFXM";"WESSEX HC.2"
"APWHVTICZW";"42nd Field Art. Group"
"APYBNNJIAC";"#RFA PzGrenadier-Brigade 11"
"APYUTPTBWE";"#CMD ALOUETTE III"
"AQCDISWEEA";"4de Pantserinfanteriebrigade"
"AQDLNLWTIW";"M119 105mm"
"AQGIKGLSPI";"#RECO2 AIRMOBILE SCOUTS"
"AQGIYBPDWI";"UNIMOG S404"
"AQLYVYIHLV";"3-MSR. 28"
"AQMSRANMEO";"3-26-y Tank. Polk"
"AQNOHCKCBQ";"TORNADO IDS [MW1]"
"AQQDJDWSHM";"4-Air Defence Rgt."
"AQSUDZPOIE";"409TFS"
"AQUDTEDJGF";"17-y otd. Gv. Razvedka Bat."
"ARDAQLIWOF";"2A72"
"ARDXKSHFIO";"AIRLIFT units can be transported by helicopters featuring the AIRLIFTER trait."
"AREQSWFXOZ";"3-MSR. 2"
"ARGPWMWYIP";"RCA Farnesio"
"ARUWMRHZOS";"Mi-2URP"
"ARYVBFPHLZ";"#RECO2 HR.15"
"ARZDNMYCBF";"7,62mm"
"ARZXNCXWES";"AERO-RIFLES"
"ARZYZEUPHM";"#RFA  2. Panzer-Brigade"
"ASCLPQWUCF";"#CMD T-80BK"
"ASCTTIHICG";"Jäger-Bat. 351"
"ASEVUVKATY";""
"ASGSZQMRWI";"HSS.804 x3"
"ASIXEZZPUC";"PzArt.-Lehr-Bat. 95"
"ASLYRKTTFT";"Type 63"
"ASNXDABRRI";"#CZ 15. Tankový Pluk"
"ASNXXHWTZY";"M72A3 LAW"
"ASTRZUIEKM";"4-14th Field Artillery Rgt."
"ASVSZZFSXM";"421TFS"
"ASXUVXPHEC";"1-221-y otd. Tank. Polk"
"ASYDABDYLS";"MILAN 1"
"ASYIJSXBNR";"M68A1"
"ASZEECLHWI";"#CZ 6. Motostřelecký Pluk"
"ATBGTTBOOP";"PKM 7,62mm"
"ATIJODDPQO";"#CMD PUMA PC"
"ATNHPRZBUA";"8. MOT.-SCHÜTZEN-DIVISION"
"ATOBOXCCCA";"#CMD USMC M60A1"
"ATRSJNNSTW";"3-1. TP"
"ATRWRPYAAX";"2-17. TP"
"Attacker";"BREAKTHROUGH - ATTACKER"
"ATVCNDPGYW";"M113 TUA"
"ATVFFBXGHR";"3-37 pa"
"ATWUBYUYAD";"HS 3-14 HA CH (supply)"
"ATZWDQSGLU";"9 ACC"
"AUAGASKMME";"L1A1 SLR"
"AUBZYRMSFQ";"RAF Wildenrath"
"AUHZNAMAIM";"28-y Korpus"
"AULMUXAGJS";"1er Cuirassiers"
"AULZGZNGFS";"ENGINEERS (FLASH)"
"AUNIBWUORN";"N.G. AH-1E Cobra"
"AURNOXUABU";"GAMA GOAT"
"AUWTEZSSWQ";"T-55AM2"
"AUXDJZLFZH";"MOTOSTRELKI (Metis)"
"AUZQMXVNXD";"1-JaboG 34"
"AUZXMJPIPI";"VBK 43"
"AVADEJZTGN";"Bofors L/70+"
"AVBROAADIC";"MiG-29 9.13"
"AVECFAUIAO";"3-33-y Tank. Polk"
"AVMYDCHIWT";"3-36 pz"
"AVNLSBUWRA";"MiG-21MF [AA]"
"AVOOYYZYCC";"The Queen's Own Hussars"
"AVQFEIEAFN";"PEGASO 3046 GAI BO1"
"AVVKXFJGYJ";"4-7th Cavalry Sq."
"AVXRSEIXOD";"Esc. de Chasse 3/2 Alsace"
"AVZSKMSVJJ";"CERBERE 76T2 20mm CPA"
"AWAHZETGFU";"HSS.630"
"AWBIYRISUB";"Ataka"
"AWDHJZIYNZ";"FUSILIER (RL-83)"
"AWEGMAKKKK";"3-MSR. 34"
"AWFBZXLLBJ";"Mig-23ML [UPK]"
"AWINESUMIZ";"82ND AIRBORNE DIVISION"
"AWOIUKAHLW";"Fliegerhorstgruppen"
"AWPMDFADLP";"#RECO1  ROZP. BWP-1 "
"AWQBHAVGCB";"350ste Smaldeel"
"AWQFXCMCUG";"M50/63"
"AWQRWPHHGJ";"40L70 BOFI-L"
"AWUUHSJIKQ";"#US  1st Brigade"
"AWWVIEIQKI";"BEDFORD TM SUPPLY"
"AWXLXVTEED";"MARINES M2HB 12,7mm M63"
"AWZLLXFHCI";"#BEL 9ste Wing"
"AXAIYZVLZL";"3M9M1"
"AXCMIJPHEH";"2S1 GOŹDZIK"
"AXGXNKCDFQ";"C6"
"AXJSSNYKIL";"Token inexistant KRMQACEQWU dans SERIOUS_Localisation_Unites"
"AXJVOHLXHJ";"1-47-y Gv. Tank. Polk"
"AXKUOHLDNS";"91-y Inzhenerno-Sapornyy Polk"
"AXKVXWZJCS";"2-15. TP"
"AXMFNDZZYM";"SICHERUNGS"
"AXUCEPYFGX";"#RECO2 Mi-8PPA"
"AXWQXMNMYQ";"RAPIER FSB1"
"AXXAJYRSJC";"SPz BMP-2"
"AXXOOHWQNG";"SEA KING Mk.48"
"AYBGFCLHKR";"Panzer-Lehr-Bat. 94"
"AYFYMMOJWL";"PARA. M2HB 12,7mm"
"AYHDTFWXIG";"This vehicle is designed to tow heavy equipment on the battlefield. Prime movers can range from heavy trucks to artillery tractors."
"AYIXPSLCJI";"MiG-21bis [AA2]"
"AYJONPOBIT";"Air Combat Value"
"AYQBZBOJLZ";"StG 942"
"AYQCTBAHER";"GENDARMES"
"AYRHDRPHGK";"HSF"
"AYRQRMNAWN";"2-170-y Gv. MSP"
"AYRYJXRJAN";"Jäger-Bat. 731"
"AYSGUOHVLF";"MIRAGE F1 CT [LGB]"
"AYSVVGTMSJ";"D-30"
"AYVUFSWQPV";"3-27 pz"
"AYVZNNKUNS";"Fagot"
"AYWOZJLILB";"4-322. KDBr"
"AYYEXEKALK";"#CMD AMX-30EM2 MANDO"
"AYYFCURSKV";"3-6. MSP"
"AYYOIYKCVF";"kbk AKM"
"AZCAYKEDIE";"ZSU-57-2"
"AZHTLMUIBE";"#RFA  9. Panzer-Lehr-brigade"
"AZHWZCSBGK";"#RECO1 UAZ-469 KPV"
"AZLEVXCNHI";"Gr.Wfr. 2S12 120mm"
"AZMSQPHHAN";"Jäger-Bat. 641"
"AZMYQYGHBG";"2-6. DP"
"AZOQDXWRJB";"DESANT. PLAMYA 30mm"
"AZOUWBUTKS";"S-24"
"AZPGHXQUQG";"773-y IAP"
"AZSMLZYRTG";"41 Painfbat"
"AZUUMDKVLC";"MT-12 Rapira 100mm"
"AZZCODQNFN";"20. MOT.-SCHÜTZEN-DIVISION"
"AZZUSLJWXI";"#US  3rd Infantry Div."
"B2";"PANZER B2(f)"
"BABJKBKYAG";"368-Y OCHAP"
"BABQINDBVH";"11. PLRP"
"BACEHWIRLX";"#US  72nd Field Artillery Brig."
"BAHLYMAFMD";"2ND ARM. CAVALRY REGT."
"BAOKCCLVWA";"L65/120"
"BAPEFRPLHH";"7e Blindee (Ally)"
"BARXEWGQRV";"#RECO2 GRENZER"
"BASZNBWSHJ";"L7A2"
"BAUAWSBGFV";"3-104. MSP"
"BAUDRTEJYI";"L7"
"BAWVOQSEFQ";"1-241-y Gv. MSP"
"BBAZGMOIJX";"#RFA  33. Panzer-Brigade"
"BBESQIKHRT";"Escadre de Chasse 11"
"BBGZELWXDV";"Konkurs"
"BBHCKHRGFA";"MiG-23ML [AA2]"
"BBJUOPUDJW";"T-55AM"
"BBKBNBVBOL";"M2HB 12,7mm M63"
"BBQBDWUTJX";"MEDIUM MACHINE GUN"
"BBSAOYFJLI";"M43"
"BBYWJZBZJU";"2-70th Armored Bat."
"BBZGBCCNXQ";"LEOPARD 1A1A1"
"BCDKHVLUEI";"HQ-4th Armoured Div."
"BCECFLAJVP";"5. PLRP"
"BCEIRFSQBG";"PzArt.-Bat. 215"
"BCFSIRPXKP";"AIM-9L"
"BCHKCBMUMD";"14de Linie"
"BCIWIRCVLN";"LFP-54"
"BCJTMYGGCG";"#RECO3 VAB RASIT"
"BCKEMQPEEW";"S-8KOM"
"BCMOGMTUQN";"#RECO2 PSZH-F"
"BCMSMQVLPE";"FlaRak-Gruppe 43"
"BCOBGWUHGN";"Flugabwehr-Rgt. 200"
"BCQRVVEIBP";"Panzer-Bat. 24"
"BCSLBVNXON";"#RFA  32. Panzergrenadier-Brigade"
"BDBGCFEBCF";"#FR 11e Div. Parachutiste"
"BDECROSEDP";"8de Lansiers"
"BDHNCQBQOV";"N.G. M151A2 I-TOW"
"BDPDEDLPVU";"M-63 PLAMEN"
"BDUATMPNTH";"Kom./15-ya Gv. Tank. Div."
"BDUSIIVBJY";"#CMD MARINEPIONIER FÜH."
"BDUYPJLETE";"MT-LB STRELA-10M3"
"BDYMMVNDPQ";"1-8. TP"
"BDZHXVNXCH";"#BEL  COMRECCE"
"BEEDFVXRGO";"PRÁM-S"
"BEGLGQZKJN";"308th Cannon Art. Brig."
"BEGNJMRWDP";"S-60"
"BEGVNHDVYI";"3-64th Armored Bat."
"BEHVOMXOYJ";"#SOV 115-y otd. Tank. Polk"
"BEHVOTONRS";"ACM-52"
"BEKNBGQZUF";"M44A1"
"BELRVEDPKT";"STINGER MARINER"
"BEMTBGTJZR";"AH-64A APACHE [ATGM]"
"BEOPGTESSZ";"Pz.Gren.-Bat. 101"
"BEPTJMRWLH";"PzGrenadier-Bat. 51"
"BERDTBHNZD";"1-58th Mech. Infantry Bat."
"BERHQPQPHU";"This unit is equipped with radio direction-finding systems. Enemy radio signals are intercepted and used to triangulate the approximate position of the enemy unit.  "
"BETVYSVOTB";"3-24 Bm"
"BEUPSEPVHJ";"2-77th Field Artillery Rgt."
"BEWQHTIUUV";"4-7 Bah"
"BFAXTEPGBB";"Panzer-Bat. 354"
"BFCFNEMWNZ";"Dépôt de munition"
"BFCNXFWRBY";"M-240"
"BFGEBPUKMF";"STARSTREAK LML"
"BFGJWMXMMO";"M115"
"BFGQYFOYCG";"DESANT. 2B9 VASILEK"
"BFHCIUHWQJ";"12. PANZERDIVISION"
"BFIIQLYFYH";"II./MSR. 16"
"BFIYGCIITO";"303-ya Gv. Artilleri. Brigada (-)"
"BFJEKTSVNL";"Panzer-Bat. 324"
"BFJQSFCDMQ";"Kom. 8-y Gv. Armii"
"BFMMTTTZXB";"RAF Laarbruch"
"BFMTKMUMTD";"27-GV.MTSK. OFFICIAL BATTLEGROUP"
"BFQPKKNMLG";"EM-12e DBL"
"BFQQJSXJWJ";"2-MSR. 32"
"BFWAYRHQNE";"OKHRANA"
"BFWRDYPXZS";"9e RAMa"
"BGANMGCHQZ";"PMZ"
"BGGNUOZIAN";"T-55AM MERIDA"
"BGHQMTCHZK";"OT-64C"
"BGJCUOPZQO";"VÝS. PTŘS FAGOT"
"BGKHTMZYRF";"Anti-Air (AA) guns are weapons designed to take out fast-moving airborne targets.\nThese types of guns are frequently emplaced in quick traversing turrets with a high rate of fire and elevation. In this way, with more advanced systems using targeting computers and radar, they can track and shoot at aircraft and helicopters at a moment’s notice. AA guns are often found in dual or even quadruple mounts. In addition, these guns are frequently used for great effect in a direct-fire role against lightly armored ground targets.  "
"BGKQWCFSDP";"130TH ENGINEER BRIGADE"
"BGKUESYGBX";"#CMD T-64BK"
"BGPZGJBSGN";"PaK K-52 85mm"
"BGSZOTEXKH";"19. MOTOSTRELECKE DIVIZE TEST"
"BGTDNRYIPH";"81st Tac. Fighter Sq."
"BGWEKLGCXX";"Type 60"
"BGWSAINBLP";"8th Canadian Hussars"
"BGYAZJVSTQ";"SD-100"
"BGYRIZVYJI";"GAZ-66 SNAB."
"BGZSZWUZOT";"OTDELENIE PODDERZHKI"
"BHALIAPYVX";"Type 60"
"BHEMODXOTX";"#CMD CENTURION Mk.5/1"
"BHGYSMJWHV";"#RECO3 1V119 REOSTAT"
"BHHDFFEOQK";"MIRAGE 2000C RDI"
"BHLOEJKNIW";"525th Tac. Fighter Sq."
"BHMSCBDQDA";"No. 17/31 Squadron"
"BHTPTWDFFG";"1-585-y Art. Polk"
"BHZJSYQRLF";"#up{AVERAGE}"
"BIDXNJSGPX";"Feldjäger-Bat. 742"
"BIEGGDXKZZ";"1-14. TP"
"BIHXAJRCJA";"TERRITORIALKOMMANDO SÜD"
"BINHREGTEN";"#CZ 104. Motostřelecký Pluk"
"BIQPQQKFVM";"1-96-y Art. Polk"
"BITCOFMASC";"#US  2nd Brigade"
"BITJAEVRZC";"VOPOS"
"BIUCNXPARH";"DRUZYNA PPANC."
"BIWUYYMXDT";"1-375-y Tank. Polk"
"BJADEMCCJI";"#RECO2 RAZVEDKA"
"BJAYTQSHTD";"454kg"
"BJBBCSKWUS";"#RECO2 Mi-2RO "
"BJDEVDCPXN";"FA-15"
"BJDUIBCFVY";"7 (Para) Rgt. RHA"
"BJDXYYKNIU";"NSVT x2"
"BJERYCGQQU";"#RECO1 RAZV. BMP-2D"
"BJLCHNUSPY";"3-75. ThdBr"
"BJNZNMAZSM";"#RECO3 VAB RASIT LEGION"
"BJPRTYYUXG";"II./PR-4"
"BJPWFGVBEE";"#CMD AMX-30 B CMDT"
"BJRIBMGVIX";"3-239-y Gv. Tank. Polk"
"BKBCLGAHJM";"23-y Gv. Otd. Tank. Bat."
"BKHNVVNQZH";"HQ-CENTAG"
"BKHOHZDYEP";"#RECO2 GEB. AUFKLÄRER"
"BKKBGGBUOP";"M134 Minigun x2"
"BKKEFZZJUL";"Su-25 [NPLM]"
"BKNTRGJEBT";"BRDM-2 MALUTKA-P"
"BKOLBMRIQL";"MiG-29A [AA1]"
"BKPYRQQIFW";"BMR C/C MILAN"
"BKQFEPTBLZ";"1ST CAN. DIV. OFFICIAL BATTLEGROUP"
"BKUCRAESPS";"Mi-24D [AT]"
"BKXHTQNNHX";"A-10A [HE]"
"BKZPJZFOKN";"2-322-y MSP"
"BLDBZMRWCI";"III./MSR. 42"
"BLHYCOFGDO";"M1 MOD"
"BLQSXRTGGF";"#RECO2  RT PRŮZKUMNÍCI"
"BLRMETPYPX";"6-y otd. Razvedka Bat."
"BLSURILPLC";"2S7M MALKA"
"BLTCCHOZOP";"M2HB 12,7mm"
"BLXZGUSGHQ";"7,62mm"
"BMELJKMRKB";"#RFA Geb.Artillerie-Rgt. 8"
"BMFMIPVPUJ";"SFL-H 2S1 122mm"
"BMGCJEXULQ";"1er RHC"
"BMKDRHFIFY";"#CMD COMMANDO CMG"
"BMMTBEJABD";"M242 Bushmaster BSV"
"BMNRJAXIHJ";"GV. IGLA"
"BMOZWGBRYE";""
"BMQJOXODMC";"105mm"
"BMSDOLALYN";"1-3rd Aviation Rgt."
"BMSFCGSONA";"#RECO1 NIEB. BERETY PT-76B"
"BMSYWJPOLE";"Vz.18/47N"
"BMTMRSNLII";"9th Engineer Bat."
"BMYKUDUXYS";"DESANT. DRUZYNA PPANC."
"BNETWJPDIK";"MiG-23MLA [AA]"
"BNGCDPDXPE";"#RFA  12. Panzerdivision"
"BNIWDKFWOE";"3-47-y Gv. Tank. Polk"
"BNIZNBIMDJ";"II,/AR-1"
"BNJHRAEBDU";"BMR-PP"
"BNKOCGWPVU";"AIRBORNE"
"BNKQKIVYZY";"Bantam"
"BNKSZLBREU";"1-244-y Gv. Tank. Polk"
"BNKZBOAJKN";"#BEL  7e Brigade d'Infanterie Blindée"
"BNONKTPZGF";"PARA. L1A1 12,7mm"
"BNQGQYRKIR";"2-3rd Attack Helo. Bat."
"BNRNDHTQIS";"II./MSR. 18"
"BNRSBPMKOR";"1-13 pz"
"BNSDNXSPFK";"BANDEIRANTE"
"BNUNMBCORZ";"PRÉVÔTÉ"
"BNWESQTSSO";"3-33. TP"
"BNZGDRSCCK";"YPR-765 PRI"
"BNZPDHCIAO";"AIM-9H"
"Body_FFlag";"False Flag units are infiltration units dressed in civilian clothes, or even enemy uniforms, breaking military laws."
"BOFTUPEWBA";"RANGERS (DRAGON)"
"BOHEATJWGD";"SPADOCHRONIARZE (METIS)"
"Bomb";"HE Bomb"
"BOMMTABPZG";"Gv m/75"
"BOOQRWIEXA";"SAXON"
"BOUNCE1";"BOUNCE"
"BOUNCE6";"Fire computer reset"
"BPCQDIABSJ";"17th Field Artillery Brig."
"BPCUSAKUIM";"1. Armáda"
"BPCVUWSSAW";"2A46-2"
"BPFZBTPTYX";"Stab-10. Panzerdiv."
"BPHFKTCWYP";"Su-25K [CLU]"
"BPHLLPDKZO";"234-y Otd. Bat. Okhrany"
"BPKQOYUOTF";"#RECO2 SDRA 8"
"BPNGZABMWI";"#NL 1e Legerkorps"
"BPNHAEUTWM";"MECH. FUSILEROS"
"BPRNATBCVK";"3-1054-y Art. Polk"
"BPTENRWJCF";"STINGER"
"BPTJAYDPUX";"Kampfgruppe von Jagow"
"BPVVKTKQJC";"6. PzBrig"
"BPXOFDBAOP";"#RECO1 M1047 LAV"
"BQDKWIKUYZ";"ZPU-4"
"BQEOKGFQRX";"73mm"
"BQIHDJBTXV";"4-8th Mech. Infantry Bat."
"BQJCIIGIDK";"#DDR 1. Mot.-Schützen-Rgt."
"BQJQXPWHSZ";"#CMD N.G. ENGINEERS LDR."
"BQMNILJYYJ";"7 Brygada artylerii haubic"
"BQOTWELXQT";"2A36 Giatsint-B 152mm"
"BQPLRKXUXV";"M219 x2"
"BQRFNSFVNL";"WACHSCHÜTZEN (STOSS)"
"BQTTVTRPKI";"1 Luftland TEST"
"BQXKOGZJOB";"17e Brigade Blindée"
"BQYMRPEJCY";"T-72M1"
"BQYVCAJWQW";"1-36. DP"
